Absolute Difference;Difference;Movie Title;MSE without Categories;MSE with Categories;Categories;;;;;;;
3.3516;-3.3516;Myra Breckinridge (1970);5.0497;8.4013;Comedy;;;;;;;
3.3437;-3.3437;Pornographers, The (1966);0.0793;3.423;Comedy;Drama;;;;;;
3.3287;-3.3287;Disaster Movie (2008);5.3338;8.6625;Comedy;;;;;;;
3.3121;3.3121;Quartet (1981);3.4668;0.1547;Drama;Romance;;;;;;
3.3094;-3.3094;Strangers When We Meet (1960);0.7425;4.0519;Drama;;;;;;;
3.2986;3.2986;Shock (1977);5.2768;1.9782;Horror;;;;;;;
3.2983;3.2983;Inside Moves (1980);3.7377;0.4394;Drama;;;;;;;
3.2802;-3.2802;Indestructible Man (1956);1.279;4.5592;Crime;Horror;Sci-Fi;;;;;
3.279;3.279;Naked Man, The (1998);3.7265;0.4475;Drama;;;;;;;
3.2632;-3.2632;Empty Mirror, The (1996);2.2449;5.5081;Drama;;;;;;;
3.2461;3.2461;Lone Wolf and Cub: Baby Cart at the River Styx (Kozure kami: Sanzu no kawa no ubaguruma) (1972);3.2569;0.0108;Action;Adventure;;;;;;
3.2305;-3.2305;Shadow of Angels (Schatten der Engel) (1976);2.5334;5.7639;Drama;;;;;;;
3.2175;-3.2175;Madagascar Skin (1995);7.5737;10.7912;Romance;;;;;;;
3.2011;3.2011;Breathing Room (1996);7.2953;4.0942;Romance;;;;;;;
3.182;3.182;Crude Oasis, The (1995);10.0269;6.8449;Romance;;;;;;;
3.1659;-3.1659;Secrets of the Heart (Secretos del Corazn) (1997);2.9616;6.1275;Drama;;;;;;;
3.1144;-3.1144;Sleuth (2007);0.2923;3.4067;Comedy;Drama;Mystery;Thriller;;;;
3.1038;-3.1038;Nomad (2005);2.7271;5.8309;Drama;War;;;;;;
3.093;3.093;Sundays and Cybele (Dimanches de Ville d'Avray, Les) (1962);3.9495;0.8565;Drama;;;;;;;
3.0895;-3.0895;Hell Is for Heroes (1962);0.0697;3.1592;Drama;War;;;;;;
3.0745;3.0745;Almost an Angel (1990);5.1047;2.0302;Comedy;;;;;;;
3.0721;3.0721;Harvest (1998);4.0123;0.9402;Drama;;;;;;;
3.057;-3.057;Nothing (2003);0.2107;3.2677;Comedy;Fantasy;Mystery;Sci-Fi;;;;
3.024;3.024;Black Christmas (2006);7.4517;4.4277;Action;Horror;Thriller;;;;;
2.9887;-2.9887;Besotted (2001);2.6048;5.5935;Drama;;;;;;;
2.9853;-2.9853;36 Quai des Orfvres (Department 36) (2004);1.9119;4.8972;Action;Crime;;;;;;
2.9692;2.9692;Men of Means (1999);5.4442;2.475;Action;Drama;;;;;;
2.9633;-2.9633;Village of the Giants (1965);1.8832;4.8465;Sci-Fi;;;;;;;
2.9478;2.9478;Camera Obscura (2000);9.3465;6.3987;Crime;Drama;Thriller;;;;;
2.9332;-2.9332;Gay Deceivers, The (1969);0.7166;3.6498;Comedy;;;;;;;
2.9303;2.9303;Other Voices, Other Rooms (1995);8.3763;5.446;Drama;;;;;;;
2.9115;2.9115;Death Defying Acts (2007);3.4408;0.5293;Drama;Romance;Thriller;;;;;
2.8906;2.8906;Tokyo! (2008);4.0279;1.1373;Drama;;;;;;;
2.8867;2.8867;Happy Go Lovely (1951);8.5987;5.712;Musical;;;;;;;
2.8157;-2.8157;Night of the Generals, The (1967);3.1576;5.9733;Crime;Drama;Mystery;Thriller;War;;;
2.8072;2.8072;British Intelligence (1940);4.3698;1.5626;Drama;;;;;;;
2.8052;2.8052;Way Ahead, The (1944);3.3141;0.5089;Drama;War;;;;;;
2.7942;2.7942;Mondo (1996);5.4889;2.6947;Drama;;;;;;;
2.7688;-2.7688;Odds Against Tomorrow (1959);2.1869;4.9557;Crime;Drama;Thriller;;;;;
2.7598;2.7598;Vermin (1998);6.7484;3.9886;Comedy;;;;;;;
2.7535;-2.7535;Ape, The (1940);3.2181;5.9716;Horror;Sci-Fi;;;;;;
2.7354;-2.7354;Cheetah (1989);0.4435;3.1789;Adventure;Children;;;;;;
2.7121;2.7121;Alien Contamination (1980);4.6585;1.9464;Action;Horror;Sci-Fi;;;;;
2.7112;-2.7112;Eve and the Fire Horse (2005);1.5967;4.3079;Drama;;;;;;;
2.7019;-2.7019;Lauderdale (a.k.a. Spring Break USA) (a.k.a. Spring Fever USA) (1989);0.5715;3.2734;Comedy;;;;;;;
2.6921;-2.6921;Easy (2003);1.9273;4.6194;Comedy;Drama;Romance;;;;;
2.6476;-2.6476;Molire (2007);0.5274;3.175;Comedy;Drama;Romance;;;;;
2.6426;-2.6426;Up the Sandbox (1972);2.9767;5.6193;Comedy;;;;;;;
2.638;2.638;History of Kim Skov (Historien om Kim Skov) (1981);3.7224;1.0844;Documentary;Drama;;;;;;
2.6343;-2.6343;South, The (El Sur) (1983);1.6647;4.299;Drama;Romance;;;;;;
2.6337;-2.6337;Coming Apart (1969);1.2177;3.8514;Drama;;;;;;;
2.6302;-2.6302;Witless Protection (2008);4.4186;7.0488;Comedy;;;;;;;
2.6229;2.6229;Just a Little Harmless Sex (1999);3.1262;0.5033;Comedy;Romance;;;;;;
2.6166;2.6166;Ninja III: The Domination (1984);5.1734;2.5568;Action;;;;;;;
2.5757;-2.5757;Drowning Pool, The (1975);0.0166;2.5923;Mystery;Thriller;;;;;;
2.5607;2.5607;N (1998);5.6224;3.0617;Drama;;;;;;;
2.5567;-2.5567;24-hour Woman (1998);3.1664;5.7231;Comedy;Drama;;;;;;
2.5452;-2.5452;Holy Mountain, The (Montaa sagrada, La) (1973);2.4934;5.0386;Adventure;Comedy;Drama;Fantasy;Mystery;Sci-Fi;;
2.5359;-2.5359;Seaside (Bord de Mer) (2002);1.4003;3.9362;Drama;;;;;;;
2.5331;2.5331;Secret Society (2002);2.5536;0.0205;Comedy;;;;;;;
2.5311;-2.5311;Abbott and Costello Meet the Killer, Boris Karloff (1949);1.046;3.5771;Comedy;Mystery;Thriller;;;;;
2.5225;2.5225;Bedtime Stories (2008);3.4881;0.9656;Adventure;Children;Comedy;;;;;
2.5196;-2.5196;First Descent (2005);1.0786;3.5982;Documentary;;;;;;;
2.5146;-2.5146;Downtown (1990);0.5776;3.0922;Action;Comedy;;;;;;
2.5021;-2.5021;Good Night, The (2007);0.026;2.5281;Comedy;Drama;Romance;Sci-Fi;;;;
2.4947;-2.4947;OT: Our Town (2002);1.4857;3.9804;Documentary;;;;;;;
2.4835;2.4835;Gypsy Moths, The (1969);3.0958;0.6123;Drama;;;;;;;
2.4818;2.4818;Partners (1982);3.0535;0.5717;Comedy;;;;;;;
2.4559;2.4559;Wrestler, The (2008);3.6582;1.2023;Drama;;;;;;;
2.4541;-2.4541;Where the Rivers Flow North (1993);0.0162;2.4703;Drama;;;;;;;
2.4356;2.4356;Of Unknown Origin (1983);6.7338;4.2982;Horror;;;;;;;
2.4319;2.4319;Show, The (1995);5.8005;3.3686;Documentary;;;;;;;
2.427;-2.427;Four Christmases (2008);3.8851;6.3121;Comedy;;;;;;;
2.4251;2.4251;Gertrud (1964);3.0502;0.6251;Drama;;;;;;;
2.4228;-2.4228;Ecstasy (xtasis) (1996);0.1332;2.556;Drama;;;;;;;
2.4201;-2.4201;Innocence (2004);5.1682;7.5883;Drama;Fantasy;Mystery;;;;;
2.4042;-2.4042;Little Men (1998);1.8624;4.2666;Drama;;;;;;;
2.3967;2.3967;Who's Your Caddy? (2007);7.6119;5.2152;Comedy;;;;;;;
2.3965;-2.3965;Coming Out (1989);2.7047;5.1012;Drama;;;;;;;
2.3749;2.3749;Young Unknowns, The (2000);3.3199;0.945;Drama;;;;;;;
2.3698;-2.3698;Circus of Horrors (1960);2.0776;4.4474;Horror;;;;;;;
2.3685;-2.3685;Fifty Pills (2006);2.2095;4.578;Comedy;;;;;;;
2.3569;2.3569;In the Name of the King: A Dungeon Siege Tale (2008);5.6263;3.2694;Action;Adventure;Fantasy;;;;;
2.3394;-2.3394;Intimate Relations (1996);1.3124;3.6518;Comedy;;;;;;;
2.3344;-2.3344;Turandot Project, The (2000);0.2302;2.5646;Documentary;;;;;;;
2.3227;2.3227;Unknown, The (a.k.a. Alonzo the Armless) (1927);7.8024;5.4797;Drama;Horror;Romance;;;;;
2.3064;-2.3064;Color Me Blood Red (1965);1.8258;4.1322;Horror;;;;;;;
2.285;2.285;Abraham's Valley (Vale Abrao) (1993);4.5461;2.2611;Drama;;;;;;;
2.284;-2.284;Last Legion, The (2007);1.1569;3.4409;Action;Adventure;Fantasy;War;;;;
2.2831;2.2831;Super Sucker (2002);4.5063;2.2232;Comedy;;;;;;;
2.2696;-2.2696;Greaser's Palace (1972);0.7457;3.0153;Comedy;Drama;Western;;;;;
2.2618;-2.2618;Trauma (2004);0.2321;2.4939;Drama;Mystery;Thriller;;;;;
2.2614;2.2614;Whom the Gods Wish to Destroy (Nibelungen, Teil 1: Siegfried, Die) (1966);4.5604;2.299;Adventure;Fantasy;;;;;;
2.2582;-2.2582;Good Morning, Babylon (1987);1.2438;3.502;Drama;;;;;;;
2.2539;2.2539;Nola (2002);4.6247;2.3708;Drama;;;;;;;
2.2525;2.2525;Blood and Sand (Sangre y Arena) (1989);5.6204;3.3679;Drama;Romance;;;;;;
2.2512;2.2512;Night Crossing (1981);5.3512;3.1;Drama;;;;;;;
2.2402;-2.2402;Always Tell Your Wife (1923);3.12;5.3602;Comedy;;;;;;;
2.2357;2.2357;Iron & Silk (1990);3.421;1.1853;Comedy;Drama;;;;;;
2.225;2.225;Men of Respect (1991);5.7829;3.5579;Crime;Drama;Thriller;;;;;
2.2222;-2.2222;My Baby's Daddy (2004);1.7859;4.0081;Comedy;;;;;;;
2.2198;-2.2198;Just Between Friends (1986);0.67;2.8898;Drama;;;;;;;
2.2189;-2.2189;Ladybugs (1992);1.0105;3.2294;Comedy;;;;;;;
2.2187;2.2187;Ulysses' Gaze (To Vlemma tou Odyssea) (1995);2.6501;0.4314;Drama;War;;;;;;
2.2172;2.2172;Messenger of Death (1988);2.6639;0.4467;Thriller;;;;;;;
2.2055;-2.2055;Salmonberries (1991);2.4514;4.6569;Drama;;;;;;;
2.1912;-2.1912;Ruby Cairo (1993);0.4921;2.6833;Thriller;;;;;;;
2.19;2.19;Trouble Bound (1993);3.3244;1.1344;Action;Comedy;;;;;;
2.1866;2.1866;Kira's Reason: A Love Story (En Krlighedshistorie) (2001);2.2176;0.031;Drama;;;;;;;
2.1714;-2.1714;Innocent, The (1993);1.6281;3.7995;Drama;;;;;;;
2.166;2.166;Hangman's Curse (2003);3.4984;1.3324;Horror;Mystery;Thriller;;;;;
2.1547;-2.1547;Sex & the Other Man (1996);0.4111;2.5658;Comedy;Drama;;;;;;
2.1527;2.1527;Kids of the Round Table (1995);8.3284;6.1757;Adventure;Children;Fantasy;;;;;
2.1439;-2.1439;Back Stage (2000);2.0129;4.1568;Documentary;;;;;;;
2.1362;2.1362;Five Wives, Three Secretaries and Me (1998);6.4344;4.2982;Documentary;;;;;;;
2.1296;-2.1296;I Shot a Man in Vegas (1995);8.4013;10.5309;Comedy;;;;;;;
2.1255;-2.1255;Beyond the Stars (1989);0.0575;2.183;Drama;Sci-Fi;;;;;;
2.1211;-2.1211;Beau Pere (a.k.a. Stepfather) (Beau-pre) (1981);5.3722;7.4933;Drama;;;;;;;
2.1205;2.1205;Ill Gotten Gains (1997);7.8112;5.6907;Drama;;;;;;;
2.1109;2.1109;Legend of the Lost (1957);5.2922;3.1813;Adventure;;;;;;;
2.102;2.102;Saw V (2008);5.6422;3.5402;Horror;;;;;;;
2.1017;2.1017;Song of Freedom (1936);2.1592;0.0575;Drama;;;;;;;
2.0947;2.0947;Heart of America (2003);3.738;1.6433;Action;Thriller;;;;;;
2.0917;-2.0917;Death Before Dishonor (1987);2.1176;4.2093;Action;;;;;;;
2.0864;2.0864;Lay of the Land, The (1997);10.8096;8.7232;Comedy;Drama;;;;;;
2.0828;-2.0828;Choke (2008);0.2882;2.371;Comedy;Drama;;;;;;
2.0774;2.0774;Surfwise (2007);2.0895;0.0121;Documentary;;;;;;;
2.0692;2.0692;Little Bit of Soul, A (1998);3.5338;1.4646;Comedy;;;;;;;
2.0626;2.0626;Uninvited Guest, An (1999);5.8983;3.8357;Drama;;;;;;;
2.0433;-2.0433;On_Line (a.k.a. On Line) (2002);0.1675;2.2108;Drama;;;;;;;
2.0307;-2.0307;Green Pastures, The (1936);0.0002;2.0309;Drama;;;;;;;
2.0167;-2.0167;Close Your Eyes (a.k.a. Hypnotic) (a.k.a. Doctor Sleep) (2002);1.5934;3.6101;Crime;Thriller;;;;;;
2.0047;-2.0047;DarkWolf (2003);5.8356;7.8403;Horror;;;;;;;
1.9987;1.9987;My New Gun (1992);3.2037;1.205;Comedy;;;;;;;
1.998;-1.998;My Mom's New Boyfriend (2008);1.7667;3.7647;Action;Comedy;Romance;Thriller;;;;
1.9918;1.9918;Left Behind: World at War (2005);5.9068;3.915;Drama;;;;;;;
1.9884;-1.9884;Funny About Love (1990);1.7896;3.778;Comedy;Romance;;;;;;
1.9853;-1.9853;Creature (1999);3.7175;5.7028;Documentary;;;;;;;
1.9739;-1.9739;Brief Crossing (Brve traverse) (2001);0.1168;2.0907;Comedy;Drama;Romance;;;;;
1.9686;-1.9686;Chicago Joe and the Showgirl (1990);2.1014;4.07;Drama;;;;;;;
1.9672;1.9672;All Access (2001);2.0023;0.0351;Documentary;IMAX;Musical;;;;;
1.9667;1.9667;House on the Edge of the Park, The (La Casa Sperduta nel Parco) (1980);3.0217;1.055;Horror;Thriller;;;;;;
1.9659;-1.9659;High School Musical 3: Senior Year (2008);2.1171;4.083;Musical;;;;;;;
1.9631;-1.9631;Zona Zamfirova (2002);0.1474;2.1105;Comedy;Drama;;;;;;
1.959;1.959;Machine Girl, The (Kataude mashin gru) (2008);3.7074;1.7484;Action;Comedy;Fantasy;;;;;
1.9534;1.9534;Purpose (2002);7.7301;5.7767;Drama;;;;;;;
1.9377;-1.9377;Teacher's Pet (2004);3.0385;4.9762;Animation;Children;;;;;;
1.9375;-1.9375;Crazy as Hell (2002);0.5216;2.4591;Drama;;;;;;;
1.9326;1.9326;Iceberg, L' (2005);2.8881;0.9555;Comedy;;;;;;;
1.922;1.922;Fists in the Pocket (I Pugni in tasca) (1965);2.2741;0.3521;Drama;;;;;;;
1.9201;-1.9201;Gospa (1995);4.0084;5.9285;Drama;;;;;;;
1.9034;1.9034;Washington Heights (2002);3.9412;2.0378;Drama;Romance;;;;;;
1.9003;-1.9003;Zachariah (1971);1.9358;3.8361;Western;;;;;;;
1.8973;-1.8973;Loco Love (Mi Casa, Su Casa) (2002);0.378;2.2753;Comedy;;;;;;;
1.8834;-1.8834;Meet Dave (2008);3.0608;4.9442;Comedy;Sci-Fi;;;;;;
1.8744;-1.8744;Navigators, The (2001);0.4843;2.3587;Comedy;Drama;;;;;;
1.8679;1.8679;Holiday (Jour de fte) (1949);2.6614;0.7935;Comedy;;;;;;;
1.8572;-1.8572;Lipstick (1976);2.4681;4.3253;Drama;;;;;;;
1.8555;1.8555;Final Option, The (Who Dares Wins) (1982);3.023;1.1675;Action;War;;;;;;
1.8552;-1.8552;Fly Me to the Moon (2008);3.5651;5.4203;Adventure;Animation;;;;;;
1.854;1.854;Child I Never Was, The (Leben lang kurze Hosen Tragen, Ein) (2002);4.7829;2.9289;Crime;Drama;;;;;;
1.8485;-1.8485;Search and Destroy (1995);0.1209;1.9694;Comedy;Drama;;;;;;
1.8485;-1.8485;Jo Jo Dancer, Your Life is Calling (1986);1.8499;3.6984;Drama;;;;;;;
1.8387;-1.8387;Garden of Allah, The (1936);0.0549;1.8936;Drama;;;;;;;
1.8365;-1.8365;Shooting Dogs (a.k.a. Beyond The Gates) (2005);0.9692;2.8057;Documentary;Drama;War;;;;;
1.8323;-1.8323;Puma Man, The (a.k.a. The Pumaman) (L'Uomo Puma) (1980);2.8885;4.7208;Action;Fantasy;Sci-Fi;Thriller;;;;
1.8306;-1.8306;Daughter of Dr. Jeckyll (1957);3.6087;5.4393;Horror;;;;;;;
1.829;1.829;Fresh Horses (1988);4.3259;2.4969;Drama;;;;;;;
1.8223;1.8223;T-Rex: Back to the Cretaceous (1998);3.1771;1.3548;Adventure;Documentary;IMAX;;;;;
1.8162;1.8162;Bat People, The (1974);3.2294;1.4132;Comedy;Drama;Horror;Sci-Fi;;;;
1.8011;-1.8011;100 Feet (2008);1.4284;3.2295;Horror;Thriller;;;;;;
1.8004;-1.8004;They Live by Night (1948);0.1028;1.9032;Crime;Film-Noir;Romance;;;;;
1.7998;1.7998;Butterfly Effect 2, The (2006);3.8892;2.0894;Adventure;Drama;Romance;Sci-Fi;Thriller;;;
1.7969;-1.7969;Smile (1975);2.5713;4.3682;Comedy;;;;;;;
1.7965;1.7965;Lady Chatterley (2006);2.7531;0.9566;Drama;Romance;;;;;;
1.7939;1.7939;Critters 4 (1991);1.8437;0.0498;Comedy;Horror;Sci-Fi;;;;;
1.7886;-1.7886;Come Undone (Presque Rien) (2000);1.9327;3.7213;Drama;Romance;;;;;;
1.7851;1.7851;Jail Bait (1954);4.286;2.5009;Crime;Drama;;;;;;
1.7792;1.7792;After the Life (Aprs la vie) (2002);2.0422;0.263;Crime;Drama;;;;;;
1.7777;-1.7777;Legend of Leigh Bowery, The (2002);0.4411;2.2188;Documentary;;;;;;;
1.7761;1.7761;Noah's Arc Principle, The (Das Arche Noah Prinzip) (1984);4.7232;2.9471;Sci-Fi;;;;;;;
1.766;1.766;Romulus, My Father (2007);2.897;1.131;Drama;;;;;;;
1.7475;-1.7475;Walker,The (2007);0.5631;2.3106;Drama;Mystery;;;;;;
1.7456;1.7456;Pompatus of Love, The (1996);2.1973;0.4517;Comedy;Drama;;;;;;
1.7451;1.7451;Bigger Than the Sky (2005);1.8379;0.0928;Comedy;Drama;Romance;;;;;
1.7434;-1.7434;Sex and Breakfast (2007);1.0538;2.7972;Comedy;Drama;Romance;;;;;
1.7431;-1.7431;Lola (1961);0.0752;1.8183;Drama;Romance;;;;;;
1.7415;1.7415;Four Friends (a.k.a. Georgia's Friends) (1981);2.8079;1.0664;Drama;;;;;;;
1.7354;1.7354;Legion of the Dead (2000);3.7128;1.9774;Comedy;Horror;;;;;;
1.7319;1.7319;Dimples (1936);2.6008;0.8689;Musical;;;;;;;
1.7302;-1.7302;Day of the Wacko (Dzien swira) (2002);1.3731;3.1033;Comedy;Drama;;;;;;
1.73;-1.73;Fraternity Vacation (1985);1.2708;3.0008;Comedy;Romance;;;;;;
1.7271;1.7271;Big Trail, The (1930);2.9214;1.1943;Adventure;Romance;Western;;;;;
1.7268;1.7268;I Know Who Killed Me (2007);6.0577;4.3309;Crime;Drama;Thriller;;;;;
1.7261;1.7261;Free Radicals (Bse Zellen) (2003);2.2133;0.4872;Drama;;;;;;;
1.7259;-1.7259;Give My Regards to Broad Street (1984);2.3903;4.1162;Drama;Musical;;;;;;
1.7213;1.7213;Shutter (2008);3.0849;1.3636;Horror;Mystery;Thriller;;;;;
1.7195;1.7195;Meet the Spartans (2008);6.7342;5.0147;Comedy;;;;;;;
1.7126;-1.7126;Battle for Haditha (2007);1.2448;2.9574;War;;;;;;;
1.7083;-1.7083;People That Time Forgot, The (1977);0.5889;2.2972;Adventure;Sci-Fi;;;;;;
1.7047;-1.7047;Ivans xtc. (2000);1.4441;3.1488;Drama;;;;;;;
1.6862;1.6862;Winter Solstice (2004);2.0932;0.407;Drama;;;;;;;
1.6842;1.6842;Dragon That Wasn't (Or Was He?), The (Als je begrijpt wat ik bedoel) (1983);1.7951;0.1109;Animation;Children;;;;;;
1.684;1.684;Losing Chase (1996);2.8414;1.1574;Drama;;;;;;;
1.6821;-1.6821;Mother's Day (1980);2.6372;4.3193;Comedy;Horror;;;;;;
1.6755;-1.6755;Leprechaun 2 (1994);0.8309;2.5064;Comedy;Fantasy;Horror;;;;;
1.6753;1.6753;Time Changer (2002);5.6572;3.9819;Drama;Sci-Fi;;;;;;
1.6748;-1.6748;Carman: The Champion (2001);2.6368;4.3116;Action;Drama;;;;;;
1.6716;1.6716;Trial by Jury (1994);4.6414;2.9698;Crime;Drama;Thriller;;;;;
1.6691;1.6691;Gui Si (Silk) (2006);1.6751;0.006;Drama;Horror;Mystery;Sci-Fi;Thriller;;;
1.6621;-1.6621;Making the Grade (1984);2.1584;3.8205;Comedy;;;;;;;
1.6617;-1.6617;Loves of Carmen, The (1948);0.0053;1.667;Drama;;;;;;;
1.6599;-1.6599;Seventh Heaven (Septime ciel, Le) (1997);1.1046;2.7645;Drama;Romance;;;;;;
1.6583;-1.6583;South of Heaven, West of Hell (2000);12.772;14.4303;Drama;Western;;;;;;
1.6569;-1.6569;Transylvania (2006);1.3308;2.9877;Drama;;;;;;;
1.655;1.655;Crows and Sparrows (Wuya yu maque) (1949);4.3483;2.6933;Drama;;;;;;;
1.6542;1.6542;Gasoline (Benzina) (2001);3.5439;1.8897;Crime;;;;;;;
1.6532;-1.6532;Free Zone (2005);2.9752;4.6284;Drama;War;;;;;;
1.6523;-1.6523;Transporter 3 (2008);0.779;2.4313;Action;;;;;;;
1.6482;1.6482;Max Payne (2008);2.5559;0.9077;Action;Crime;Drama;Thriller;;;;
1.6441;-1.6441;Fathom (1967);1.9793;3.6234;Adventure;;;;;;;
1.6427;-1.6427;Bad Eggs (2003);0.0785;1.7212;Comedy;Thriller;;;;;;
1.64;-1.64;Jiminy Glick in La La Wood (2004);2.3483;3.9883;Comedy;Mystery;;;;;;
1.635;-1.635;Kids World (2000);2.692;4.327;Adventure;Children;Comedy;;;;;
1.6324;1.6324;Slaughterhouse (1987);4.4854;2.853;Horror;;;;;;;
1.6282;-1.6282;Roadie (1980);2.3148;3.943;Comedy;Musical;;;;;;
1.6236;1.6236;College Road Trip (2008);3.4944;1.8708;Comedy;;;;;;;
1.6208;1.6208;Madison (2001);2.6856;1.0648;Drama;;;;;;;
1.6205;1.6205;Hxan: Witchcraft Through the Ages (1922);1.8579;0.2374;Horror;;;;;;;
1.6165;1.6165;Scorchers (1991);3.2637;1.6472;Comedy;Drama;;;;;;
1.6102;1.6102;Pulse (2006);3.9994;2.3892;Horror;Mystery;Thriller;;;;;
1.6069;1.6069;Hideous Sun Demon, The (1959);4.5249;2.918;Horror;Sci-Fi;;;;;;
1.6068;1.6068;Big Shot's Funeral (Da Wan) (2001);1.8901;0.2833;Comedy;;;;;;;
1.6045;1.6045;When Time Ran Out... (a.k.a. The Day the World Ended) (1980);3.6608;2.0563;Action;Adventure;;;;;;
